year,series,volume,type,y2030,y2050,y2100,lohi
2003,欧盟,5.14,seriesval,0,0,0,0
2004,欧盟,5.15,seriesval,0,0,0,0
2005,欧盟,5.16,seriesval,0,0,0,0
2006,欧盟,5.09,seriesval,0,0,0,0
2007,欧盟,5.03,seriesval,0,0,0,0
2008,欧盟,4.96,seriesval,0,0,0,0
2009,欧盟,4.9,seriesval,0,0,0,0
2010,欧盟,4.83,seriesval,0,0,0,0
2011,欧盟,4.71,seriesval,0,0,0,0
2012,欧盟,4.68,seriesval,0,0,0,0
2013,欧盟,4.62,seriesval,0,0,0,0
2014,欧盟,4.57,seriesval,0,0,0,0
2015,欧盟,4.51,seriesval,0,0,0,0
2016,欧盟,4.46,seriesval,0,0,0,0
2017,欧盟,4.4,seriesval,0,0,0,0
2018,欧盟,4.34,seriesval,0,0,0,0
2019,欧盟,4.29,seriesval,0,0,0,0
2020,欧盟,4.23,seriesval,0,0,0,0
2021,欧盟,4.41,seriesval,0,0,0,0
2022,欧盟,4.58,seriesval,0,0,0,0
2023,欧盟,4.76,seriesval,0,0,0,0
2024,欧盟,4.94,seriesval,0,0,0,0
2025,欧盟,5.12,seriesval,0,0,0,0
2026,欧盟,5.29,seriesval,0,0,0,0
2027,欧盟,5.47,seriesval,0,0,0,0
2028,欧盟,5.65,seriesval,0,0,0,0
2029,欧盟,5.83,seriesval,0,0,0,0
2030,欧盟,6,seriesval,0,0,0,0
2031,欧盟,6.04,seriesval,0,0,0,0
2032,欧盟,6.08,seriesval,0,0,0,0
2033,欧盟,6.12,seriesval,0,0,0,0
2034,欧盟,6.16,seriesval,0,0,0,0
2035,欧盟,6.2,seriesval,0,0,0,0
2036,欧盟,6.24,seriesval,0,0,0,0
2037,欧盟,6.28,seriesval,0,0,0,0
2038,欧盟,6.32,seriesval,0,0,0,0
2039,欧盟,6.36,seriesval,0,0,0,0
2040,欧盟,6.4,seriesval,0,0,0,0
2041,欧盟,6.44,seriesval,0,0,0,0
2042,欧盟,6.48,seriesval,0,0,0,0
2043,欧盟,6.52,seriesval,0,0,0,0
2044,欧盟,6.56,seriesval,0,0,0,0
2045,欧盟,6.6,seriesval,0,0,0,0
2046,欧盟,6.64,seriesval,0,0,0,0
2047,欧盟,6.68,seriesval,0,0,0,0
2048,欧盟,6.72,seriesval,0,0,0,0
2049,欧盟,6.76,seriesval,0,0,0,0
2050,欧盟,6.8,seriesval,0,0,0,0
2051,欧盟,6.8,seriesval,0,0,0,0
2052,欧盟,6.8,seriesval,0,0,0,0
2053,欧盟,6.8,seriesval,0,0,0,0
2054,欧盟,6.8,seriesval,0,0,0,0
2055,欧盟,6.8,seriesval,0,0,0,0
2056,欧盟,6.8,seriesval,0,0,0,0
2057,欧盟,6.8,seriesval,0,0,0,0
2058,欧盟,6.8,seriesval,0,0,0,0
2059,欧盟,6.8,seriesval,0,0,0,0
2060,欧盟,6.8,seriesval,0,0,0,0
2061,欧盟,6.8,seriesval,0,0,0,0
2062,欧盟,6.8,seriesval,0,0,0,0
2063,欧盟,6.8,seriesval,0,0,0,0
2064,欧盟,6.8,seriesval,0,0,0,0
2065,欧盟,6.8,seriesval,0,0,0,0
2066,欧盟,6.8,seriesval,0,0,0,0
2067,欧盟,6.8,seriesval,0,0,0,0
2068,欧盟,6.8,seriesval,0,0,0,0
2069,欧盟,6.8,seriesval,0,0,0,0
2070,欧盟,6.8,seriesval,0,0,0,0
2071,欧盟,6.8,seriesval,0,0,0,0
2072,欧盟,6.8,seriesval,0,0,0,0
2073,欧盟,6.8,seriesval,0,0,0,0
2074,欧盟,6.8,seriesval,0,0,0,0
2075,欧盟,6.8,seriesval,0,0,0,0
2076,欧盟,6.8,seriesval,0,0,0,0
2077,欧盟,6.8,seriesval,0,0,0,0
2078,欧盟,6.8,seriesval,0,0,0,0
2079,欧盟,6.8,seriesval,0,0,0,0
2080,欧盟,6.8,seriesval,0,0,0,0
2081,欧盟,6.8,seriesval,0,0,0,0
2082,欧盟,6.8,seriesval,0,0,0,0
2083,欧盟,6.8,seriesval,0,0,0,0
2084,欧盟,6.8,seriesval,0,0,0,0
2085,欧盟,6.8,seriesval,0,0,0,0
2086,欧盟,6.8,seriesval,0,0,0,0
2087,欧盟,6.8,seriesval,0,0,0,0
2088,欧盟,6.8,seriesval,0,0,0,0
2089,欧盟,6.8,seriesval,0,0,0,0
2090,欧盟,6.8,seriesval,0,0,0,0
2091,欧盟,6.8,seriesval,0,0,0,0
2092,欧盟,6.8,seriesval,0,0,0,0
2093,欧盟,6.8,seriesval,0,0,0,0
2094,欧盟,6.8,seriesval,0,0,0,0
2095,欧盟,6.8,seriesval,0,0,0,0
2096,欧盟,6.8,seriesval,0,0,0,0
2097,欧盟,6.8,seriesval,0,0,0,0
2098,欧盟,6.8,seriesval,0,0,0,0
2099,欧盟,6.8,seriesval,0,0,0,0
2100,欧盟,6.8,seriesval,0,0,0,0
1870,印度,0.06,seriesval,0,0,0,0
1871,印度,0.06,seriesval,0,0,0,0
1872,印度,0.06,seriesval,0,0,0,0
1873,印度,0.06,seriesval,0,0,0,0
1874,印度,0.06,seriesval,0,0,0,0
1875,印度,0.06,seriesval,0,0,0,0
1876,印度,0.06,seriesval,0,0,0,0
1877,印度,0.06,seriesval,0,0,0,0
1878,印度,0.06,seriesval,0,0,0,0
1879,印度,0.06,seriesval,0,0,0,0
1880,印度,0.06,seriesval,0,0,0,0
1881,印度,0.06,seriesval,0,0,0,0
1882,印度,0.06,seriesval,0,0,0,0
1883,印度,0.06,seriesval,0,0,0,0
1884,印度,0.06,seriesval,0,0,0,0
1885,印度,0.06,seriesval,0,0,0,0
1886,印度,0.06,seriesval,0,0,0,0
1887,印度,0.06,seriesval,0,0,0,0
1888,印度,0.06,seriesval,0,0,0,0
1889,印度,0.06,seriesval,0,0,0,0
1890,印度,0.37,seriesval,0,0,0,0
1891,印度,0.37,seriesval,0,0,0,0
1892,印度,0.37,seriesval,0,0,0,0
1893,印度,0.37,seriesval,0,0,0,0
1894,印度,0.38,seriesval,0,0,0,0
1895,印度,0.38,seriesval,0,0,0,0
1896,印度,0.38,seriesval,0,0,0,0
1897,印度,0.38,seriesval,0,0,0,0
1898,印度,0.39,seriesval,0,0,0,0
1899,印度,0.39,seriesval,0,0,0,0
1900,印度,0.39,seriesval,0,0,0,0
1901,印度,0.44,seriesval,0,0,0,0
1902,印度,0.45,seriesval,0,0,0,0
1903,印度,0.46,seriesval,0,0,0,0
1904,印度,0.46,seriesval,0,0,0,0
1905,印度,0.46,seriesval,0,0,0,0
1906,印度,0.47,seriesval,0,0,0,0
1907,印度,0.47,seriesval,0,0,0,0
1908,印度,0.48,seriesval,0,0,0,0
1909,印度,0.48,seriesval,0,0,0,0
1910,印度,0.48,seriesval,0,0,0,0
1911,印度,0.49,seriesval,0,0,0,0
1912,印度,0.49,seriesval,0,0,0,0
1913,印度,0.5,seriesval,0,0,0,0
1914,印度,0.51,seriesval,0,0,0,0
1915,印度,0.51,seriesval,0,0,0,0
1916,印度,0.52,seriesval,0,0,0,0
1917,印度,0.52,seriesval,0,0,0,0
1918,印度,0.53,seriesval,0,0,0,0
1919,印度,0.54,seriesval,0,0,0,0
1920,印度,0.53,seriesval,0,0,0,0
1921,印度,0.53,seriesval,0,0,0,0
1922,印度,0.53,seriesval,0,0,0,0
1923,印度,0.53,seriesval,0,0,0,0
1924,印度,0.53,seriesval,0,0,0,0
1925,印度,0.52,seriesval,0,0,0,0
1926,印度,0.52,seriesval,0,0,0,0
1927,印度,0.52,seriesval,0,0,0,0
1928,印度,0.51,seriesval,0,0,0,0
1929,印度,0.51,seriesval,0,0,0,0
1930,印度,0.51,seriesval,0,0,0,0
1931,印度,0.51,seriesval,0,0,0,0
1932,印度,0.51,seriesval,0,0,0,0
1933,印度,0.52,seriesval,0,0,0,0
1934,印度,0.53,seriesval,0,0,0,0
1935,印度,0.54,seriesval,0,0,0,0
1936,印度,0.54,seriesval,0,0,0,0
1937,印度,0.56,seriesval,0,0,0,0
1938,印度,0.57,seriesval,0,0,0,0
1939,印度,0.57,seriesval,0,0,0,0
1940,印度,0.58,seriesval,0,0,0,0
1941,印度,0.59,seriesval,0,0,0,0
1942,印度,0.59,seriesval,0,0,0,0
1943,印度,0.58,seriesval,0,0,0,0
1944,印度,0.58,seriesval,0,0,0,0
1945,印度,0.59,seriesval,0,0,0,0
1946,印度,0.59,seriesval,0,0,0,0
1947,印度,0.59,seriesval,0,0,0,0
1948,印度,0.59,seriesval,0,0,0,0
1949,印度,0.6,seriesval,0,0,0,0
1950,印度,0.6,seriesval,0,0,0,0
1951,印度,0.7,seriesval,0,0,0,0
1952,印度,0.73,seriesval,0,0,0,0
1953,印度,0.74,seriesval,0,0,0,0
1954,印度,0.75,seriesval,0,0,0,0
1955,印度,0.77,seriesval,0,0,0,0
1956,印度,0.78,seriesval,0,0,0,0
1957,印度,0.8,seriesval,0,0,0,0
1958,印度,0.81,seriesval,0,0,0,0
1959,印度,0.83,seriesval,0,0,0,0
1960,印度,0.85,seriesval,0,0,0,0
1961,印度,0.86,seriesval,0,0,0,0
1962,印度,0.93,seriesval,0,0,0,0
1963,印度,0.74,seriesval,0,0,0,0
1964,印度,0.77,seriesval,0,0,0,0
1965,印度,0.79,seriesval,0,0,0,0
1966,印度,0.78,seriesval,0,0,0,0
1967,印度,0.8,seriesval,0,0,0,0
1968,印度,0.83,seriesval,0,0,0,0
1969,印度,0.76,seriesval,0,0,0,0
1970,印度,0.78,seriesval,0,0,0,0
1971,印度,0.76,seriesval,0,0,0,0
1972,印度,0.8,seriesval,0,0,0,0
1973,印度,0.86,seriesval,0,0,0,0
1974,印度,0.86,seriesval,0,0,0,0
1975,印度,0.89,seriesval,0,0,0,0
1976,印度,0.84,seriesval,0,0,0,0
1977,印度,0.84,seriesval,0,0,0,0
1978,印度,0.86,seriesval,0,0,0,0
1979,印度,0.88,seriesval,0,0,0,0
1980,印度,0.89,seriesval,0,0,0,0
1981,印度,0.94,seriesval,0,0,0,0
1982,印度,0.98,seriesval,0,0,0,0
1983,印度,1.01,seriesval,0,0,0,0
1984,印度,1.11,seriesval,0,0,0,0
1985,印度,1.09,seriesval,0,0,0,0
1986,印度,1.16,seriesval,0,0,0,0
1987,印度,1.18,seriesval,0,0,0,0
1988,印度,1.25,seriesval,0,0,0,0
1989,印度,1.31,seriesval,0,0,0,0
1990,印度,1.39,seriesval,0,0,0,0
1991,印度,1.44,seriesval,0,0,0,0
1992,印度,1.49,seriesval,0,0,0,0
1993,印度,1.55,seriesval,0,0,0,0
1994,印度,1.6,seriesval,0,0,0,0
1995,印度,1.65,seriesval,0,0,0,0
1996,印度,1.7,seriesval,0,0,0,0
1997,印度,1.75,seriesval,0,0,0,0
1998,印度,1.79,seriesval,0,0,0,0
1999,印度,1.84,seriesval,0,0,0,0
2000,印度,1.89,seriesval,0,0,0,0
2001,印度,1.94,seriesval,0,0,0,0
2002,印度,1.98,seriesval,0,0,0,0
2003,印度,2.03,seriesval,0,0,0,0
2004,印度,2.07,seriesval,0,0,0,0
2005,印度,2.12,seriesval,0,0,0,0
2006,印度,2.25,seriesval,0,0,0,0
2007,印度,2.38,seriesval,0,0,0,0
2008,印度,2.51,seriesval,0,0,0,0
2009,印度,2.64,seriesval,0,0,0,0
2010,印度,2.77,seriesval,0,0,0,0
2011,印度,2.83,seriesval,0,0,0,0
2012,印度,3,seriesval,0,0,0,0
2013,印度,3.07,seriesval,0,0,0,0
2014,印度,3.14,seriesval,0,0,0,0
2015,印度,3.21,seriesval,0,0,0,0
2016,印度,3.28,seriesval,0,0,0,0
2017,印度,3.34,seriesval,0,0,0,0
2018,印度,3.41,seriesval,0,0,0,0
2019,印度,3.48,seriesval,0,0,0,0
2020,印度,3.55,seriesval,0,0,0,0
2021,印度,3.91,seriesval,0,0,0,0
2022,印度,4.28,seriesval,0,0,0,0
2023,印度,4.64,seriesval,0,0,0,0
2024,印度,5.01,seriesval,0,0,0,0
2025,印度,5.37,seriesval,0,0,0,0
2026,印度,5.74,seriesval,0,0,0,0
2027,印度,6.1,seriesval,0,0,0,0
2028,印度,6.47,seriesval,0,0,0,0
2029,印度,6.83,seriesval,0,0,0,0
2030,印度,7.19,seriesval,0,0,0,0
2031,印度,7.45,seriesval,0,0,0,0
2032,印度,7.7,seriesval,0,0,0,0
2033,印度,7.96,seriesval,0,0,0,0
2034,印度,8.22,seriesval,0,0,0,0
2035,印度,8.47,seriesval,0,0,0,0
2036,印度,8.73,seriesval,0,0,0,0
2037,印度,8.98,seriesval,0,0,0,0
2038,印度,9.24,seriesval,0,0,0,0
2039,印度,9.49,seriesval,0,0,0,0
2040,印度,9.75,seriesval,0,0,0,0
2041,印度,10,seriesval,0,0,0,0
2042,印度,10.26,seriesval,0,0,0,0
2043,印度,10.51,seriesval,0,0,0,0
2044,印度,10.77,seriesval,0,0,0,0
2045,印度,11.02,seriesval,0,0,0,0
2046,印度,11.28,seriesval,0,0,0,0
2047,印度,11.53,seriesval,0,0,0,0
2048,印度,11.79,seriesval,0,0,0,0
2049,印度,12.04,seriesval,0,0,0,0
2050,印度,12.3,seriesval,0,0,0,0
2051,印度,12.42,seriesval,0,0,0,0
2052,印度,12.55,seriesval,0,0,0,0
2053,印度,12.67,seriesval,0,0,0,0
2054,印度,12.79,seriesval,0,0,0,0
2055,印度,12.92,seriesval,0,0,0,0
2056,印度,13.04,seriesval,0,0,0,0
2057,印度,13.16,seriesval,0,0,0,0
2058,印度,13.28,seriesval,0,0,0,0
2059,印度,13.41,seriesval,0,0,0,0
2060,印度,13.53,seriesval,0,0,0,0
2061,印度,13.65,seriesval,0,0,0,0
2062,印度,13.78,seriesval,0,0,0,0
2063,印度,13.9,seriesval,0,0,0,0
2064,印度,14.02,seriesval,0,0,0,0
2065,印度,14.15,seriesval,0,0,0,0
2066,印度,14.27,seriesval,0,0,0,0
2067,印度,14.39,seriesval,0,0,0,0
2068,印度,14.51,seriesval,0,0,0,0
2069,印度,14.64,seriesval,0,0,0,0
2070,印度,14.76,seriesval,0,0,0,0
2071,印度,14.88,seriesval,0,0,0,0
2072,印度,15.01,seriesval,0,0,0,0
2073,印度,15.13,seriesval,0,0,0,0
2074,印度,15.25,seriesval,0,0,0,0
2075,印度,15.38,seriesval,0,0,0,0
2076,印度,15.5,seriesval,0,0,0,0
2077,印度,15.62,seriesval,0,0,0,0
2078,印度,15.74,seriesval,0,0,0,0
2079,印度,15.87,seriesval,0,0,0,0
2080,印度,15.99,seriesval,0,0,0,0
2081,印度,16.11,seriesval,0,0,0,0
2082,印度,16.24,seriesval,0,0,0,0
2083,印度,16.36,seriesval,0,0,0,0
2084,印度,16.48,seriesval,0,0,0,0
2085,印度,16.61,seriesval,0,0,0,0
2086,印度,16.73,seriesval,0,0,0,0
2087,印度,16.85,seriesval,0,0,0,0
2088,印度,16.97,seriesval,0,0,0,0
2089,印度,17.1,seriesval,0,0,0,0
2090,印度,17.22,seriesval,0,0,0,0
2091,印度,17.34,seriesval,0,0,0,0
2092,印度,17.47,seriesval,0,0,0,0
2093,印度,17.59,seriesval,0,0,0,0
2094,印度,17.71,seriesval,0,0,0,0
2095,印度,17.84,seriesval,0,0,0,0
2096,印度,17.96,seriesval,0,0,0,0
2097,印度,18.08,seriesval,0,0,0,0
2098,印度,18.2,seriesval,0,0,0,0
2099,印度,18.33,seriesval,0,0,0,0
2100,印度,18.45,seriesval,0,0,0,0
1870,俄罗斯,0.18,seriesval,0,0,0,0
1871,俄罗斯,0.18,seriesval,0,0,0,0
1872,俄罗斯,0.18,seriesval,0,0,0,0
1873,俄罗斯,0.18,seriesval,0,0,0,0
1874,俄罗斯,0.18,seriesval,0,0,0,0
1875,俄罗斯,0.18,seriesval,0,0,0,0
1876,俄罗斯,0.19,seriesval,0,0,0,0
1877,俄罗斯,0.19,seriesval,0,0,0,0
1878,俄罗斯,0.19,seriesval,0,0,0,0
1879,俄罗斯,0.19,seriesval,0,0,0,0
1880,俄罗斯,0.19,seriesval,0,0,0,0
1881,俄罗斯,0.19,seriesval,0,0,0,0
1882,俄罗斯,0.19,seriesval,0,0,0,0
1883,俄罗斯,0.19,seriesval,0,0,0,0
1884,俄罗斯,0.19,seriesval,0,0,0,0
1885,俄罗斯,0.19,seriesval,0,0,0,0
1886,俄罗斯,0.19,seriesval,0,0,0,0
1887,俄罗斯,0.19,seriesval,0,0,0,0
1888,俄罗斯,0.19,seriesval,0,0,0,0
1889,俄罗斯,0.19,seriesval,0,0,0,0
1890,俄罗斯,0.26,seriesval,0,0,0,0
1891,俄罗斯,0.26,seriesval,0,0,0,0
1892,俄罗斯,0.26,seriesval,0,0,0,0
1893,俄罗斯,0.27,seriesval,0,0,0,0
1894,俄罗斯,0.27,seriesval,0,0,0,0
1895,俄罗斯,0.27,seriesval,0,0,0,0
1896,俄罗斯,0.27,seriesval,0,0,0,0
1897,俄罗斯,0.27,seriesval,0,0,0,0
1898,俄罗斯,0.28,seriesval,0,0,0,0
1899,俄罗斯,0.28,seriesval,0,0,0,0
1900,俄罗斯,0.28,seriesval,0,0,0,0
1901,俄罗斯,0.3,seriesval,0,0,0,0
1902,俄罗斯,0.31,seriesval,0,0,0,0
1903,俄罗斯,0.31,seriesval,0,0,0,0
1904,俄罗斯,0.31,seriesval,0,0,0,0
1905,俄罗斯,0.31,seriesval,0,0,0,0
1906,俄罗斯,0.32,seriesval,0,0,0,0
1907,俄罗斯,0.32,seriesval,0,0,0,0
1908,俄罗斯,0.32,seriesval,0,0,0,0
1909,俄罗斯,0.32,seriesval,0,0,0,0
1910,俄罗斯,0.33,seriesval,0,0,0,0
1911,俄罗斯,0.33,seriesval,0,0,0,0
1912,俄罗斯,0.33,seriesval,0,0,0,0
1913,俄罗斯,0.35,seriesval,0,0,0,0
1914,俄罗斯,0.35,seriesval,0,0,0,0
1915,俄罗斯,0.36,seriesval,0,0,0,0
1916,俄罗斯,0.36,seriesval,0,0,0,0
1917,俄罗斯,0.37,seriesval,0,0,0,0
1918,俄罗斯,0.38,seriesval,0,0,0,0
1919,俄罗斯,0.38,seriesval,0,0,0,0
1920,俄罗斯,0.39,seriesval,0,0,0,0
1921,俄罗斯,0.4,seriesval,0,0,0,0
1922,俄罗斯,0.41,seriesval,0,0,0,0
1923,俄罗斯,0.42,seriesval,0,0,0,0
1924,俄罗斯,0.43,seriesval,0,0,0,0
1925,俄罗斯,0.44,seriesval,0,0,0,0
1926,俄罗斯,0.45,seriesval,0,0,0,0
1927,俄罗斯,0.47,seriesval,0,0,0,0
1928,俄罗斯,0.48,seriesval,0,0,0,0
1929,俄罗斯,0.49,seriesval,0,0,0,0
1930,俄罗斯,0.51,seriesval,0,0,0,0
1931,俄罗斯,0.52,seriesval,0,0,0,0
1932,俄罗斯,0.54,seriesval,0,0,0,0
1933,俄罗斯,0.56,seriesval,0,0,0,0
1934,俄罗斯,0.58,seriesval,0,0,0,0
1935,俄罗斯,0.6,seriesval,0,0,0,0
1936,俄罗斯,0.62,seriesval,0,0,0,0
1937,俄罗斯,0.64,seriesval,0,0,0,0
1938,俄罗斯,0.67,seriesval,0,0,0,0
1939,俄罗斯,0.7,seriesval,0,0,0,0
1940,俄罗斯,0.74,seriesval,0,0,0,0
1941,俄罗斯,0.73,seriesval,0,0,0,0
1942,俄罗斯,0.73,seriesval,0,0,0,0
1943,俄罗斯,0.74,seriesval,0,0,0,0
1944,俄罗斯,0.75,seriesval,0,0,0,0
1945,俄罗斯,0.76,seriesval,0,0,0,0
1946,俄罗斯,0.78,seriesval,0,0,0,0
1947,俄罗斯,0.8,seriesval,0,0,0,0
1948,俄罗斯,0.82,seriesval,0,0,0,0
1949,俄罗斯,0.84,seriesval,0,0,0,0
1950,俄罗斯,0.87,seriesval,0,0,0,0
1951,俄罗斯,1.13,seriesval,0,0,0,0
1952,俄罗斯,1.22,seriesval,0,0,0,0
1953,俄罗斯,1.32,seriesval,0,0,0,0
1954,俄罗斯,1.42,seriesval,0,0,0,0
1955,俄罗斯,1.52,seriesval,0,0,0,0
1956,俄罗斯,1.64,seriesval,0,0,0,0
1957,俄罗斯,1.75,seriesval,0,0,0,0
1958,俄罗斯,1.87,seriesval,0,0,0,0
1959,俄罗斯,1.83,seriesval,0,0,0,0
1960,俄罗斯,1.93,seriesval,0,0,0,0
1961,俄罗斯,1.96,seriesval,0,0,0,0
1962,俄罗斯,1.96,seriesval,0,0,0,0
1963,俄罗斯,1.99,seriesval,0,0,0,0
1964,俄罗斯,2.01,seriesval,0,0,0,0
1965,俄罗斯,2.06,seriesval,0,0,0,0
1966,俄罗斯,2.09,seriesval,0,0,0,0
1967,俄罗斯,2.1,seriesval,0,0,0,0
1968,俄罗斯,2.11,seriesval,0,0,0,0
1969,俄罗斯,2.17,seriesval,0,0,0,0
1970,俄罗斯,2.46,seriesval,0,0,0,0
1971,俄罗斯,2.43,seriesval,0,0,0,0
1972,俄罗斯,2.54,seriesval,0,0,0,0
1973,俄罗斯,2.6,seriesval,0,0,0,0
1974,俄罗斯,2.69,seriesval,0,0,0,0
1975,俄罗斯,2.82,seriesval,0,0,0,0
1976,俄罗斯,2.92,seriesval,0,0,0,0
1977,俄罗斯,2.96,seriesval,0,0,0,0
1978,俄罗斯,3,seriesval,0,0,0,0
1979,俄罗斯,3.04,seriesval,0,0,0,0
1980,俄罗斯,3.1,seriesval,0,0,0,0
1981,俄罗斯,3.08,seriesval,0,0,0,0
1982,俄罗斯,3.14,seriesval,0,0,0,0
1983,俄罗斯,3.14,seriesval,0,0,0,0
1984,俄罗斯,3.15,seriesval,0,0,0,0
1985,俄罗斯,3.18,seriesval,0,0,0,0
1986,俄罗斯,3.25,seriesval,0,0,0,0
1987,俄罗斯,3.3,seriesval,0,0,0,0
1988,俄罗斯,3.38,seriesval,0,0,0,0
1989,俄罗斯,3.4,seriesval,0,0,0,0
1990,俄罗斯,3.59,seriesval,0,0,0,0
1991,俄罗斯,3.4,seriesval,0,0,0,0
1992,俄罗斯,3.21,seriesval,0,0,0,0
1993,俄罗斯,3.03,seriesval,0,0,0,0
1994,俄罗斯,2.84,seriesval,0,0,0,0
1995,俄罗斯,2.65,seriesval,0,0,0,0
1996,俄罗斯,2.67,seriesval,0,0,0,0
1997,俄罗斯,2.7,seriesval,0,0,0,0
1998,俄罗斯,2.72,seriesval,0,0,0,0
1999,俄罗斯,2.75,seriesval,0,0,0,0
2000,俄罗斯,2.77,seriesval,0,0,0,0
2001,俄罗斯,2.72,seriesval,0,0,0,0
2002,俄罗斯,2.67,seriesval,0,0,0,0
2003,俄罗斯,2.63,seriesval,0,0,0,0
2004,俄罗斯,2.58,seriesval,0,0,0,0
2005,俄罗斯,2.53,seriesval,0,0,0,0
2006,俄罗斯,2.54,seriesval,0,0,0,0
2007,俄罗斯,2.56,seriesval,0,0,0,0
2008,俄罗斯,2.57,seriesval,0,0,0,0
2009,俄罗斯,2.59,seriesval,0,0,0,0
2010,俄罗斯,2.6,seriesval,0,0,0,0
2011,俄罗斯,2.78,seriesval,0,0,0,0
2012,俄罗斯,2.8,seriesval,0,0,0,0
2013,俄罗斯,2.81,seriesval,0,0,0,0
2014,俄罗斯,2.82,seriesval,0,0,0,0
2015,俄罗斯,2.83,seriesval,0,0,0,0
2016,俄罗斯,2.84,seriesval,0,0,0,0
2017,俄罗斯,2.85,seriesval,0,0,0,0
2018,俄罗斯,2.85,seriesval,0,0,0,0
2019,俄罗斯,2.86,seriesval,0,0,0,0
2020,俄罗斯,2.87,seriesval,0,0,0,0
2021,俄罗斯,2.86,seriesval,0,0,0,0
2022,俄罗斯,2.85,seriesval,0,0,0,0
2023,俄罗斯,2.84,seriesval,0,0,0,0
2024,俄罗斯,2.82,seriesval,0,0,0,0
2025,俄罗斯,2.81,seriesval,0,0,0,0
2026,俄罗斯,2.8,seriesval,0,0,0,0
2027,俄罗斯,2.79,seriesval,0,0,0,0
2028,俄罗斯,2.78,seriesval,0,0,0,0
2029,俄罗斯,2.76,seriesval,0,0,0,0
2030,俄罗斯,2.75,seriesval,0,0,0,0
2031,俄罗斯,2.86,seriesval,0,0,0,0
2032,俄罗斯,2.98,seriesval,0,0,0,0
2033,俄罗斯,3.09,seriesval,0,0,0,0
2034,俄罗斯,3.2,seriesval,0,0,0,0
2035,俄罗斯,3.31,seriesval,0,0,0,0
2036,俄罗斯,3.43,seriesval,0,0,0,0
2037,俄罗斯,3.54,seriesval,0,0,0,0
2038,俄罗斯,3.65,seriesval,0,0,0,0
2039,俄罗斯,3.76,seriesval,0,0,0,0
2040,俄罗斯,3.88,seriesval,0,0,0,0
2041,俄罗斯,3.99,seriesval,0,0,0,0
2042,俄罗斯,4.1,seriesval,0,0,0,0
2043,俄罗斯,4.21,seriesval,0,0,0,0
2044,俄罗斯,4.33,seriesval,0,0,0,0
2045,俄罗斯,4.44,seriesval,0,0,0,0
2046,俄罗斯,4.55,seriesval,0,0,0,0
2047,俄罗斯,4.66,seriesval,0,0,0,0
2048,俄罗斯,4.78,seriesval,0,0,0,0
2049,俄罗斯,4.89,seriesval,0,0,0,0
2050,俄罗斯,5,seriesval,0,0,0,0
2051,俄罗斯,5.03,seriesval,0,0,0,0
2052,俄罗斯,5.06,seriesval,0,0,0,0
2053,俄罗斯,5.1,seriesval,0,0,0,0
2054,俄罗斯,5.13,seriesval,0,0,0,0
2055,俄罗斯,5.16,seriesval,0,0,0,0
2056,俄罗斯,5.19,seriesval,0,0,0,0
2057,俄罗斯,5.22,seriesval,0,0,0,0
2058,俄罗斯,5.26,seriesval,0,0,0,0
2059,俄罗斯,5.29,seriesval,0,0,0,0
2060,俄罗斯,5.32,seriesval,0,0,0,0
2061,俄罗斯,5.35,seriesval,0,0,0,0
2062,俄罗斯,5.38,seriesval,0,0,0,0
2063,俄罗斯,5.42,seriesval,0,0,0,0
2064,俄罗斯,5.45,seriesval,0,0,0,0
2065,俄罗斯,5.48,seriesval,0,0,0,0
2066,俄罗斯,5.51,seriesval,0,0,0,0
2067,俄罗斯,5.54,seriesval,0,0,0,0
2068,俄罗斯,5.58,seriesval,0,0,0,0
2069,俄罗斯,5.61,seriesval,0,0,0,0
2070,俄罗斯,5.64,seriesval,0,0,0,0
2071,俄罗斯,5.67,seriesval,0,0,0,0
2072,俄罗斯,5.7,seriesval,0,0,0,0
2073,俄罗斯,5.74,seriesval,0,0,0,0
2074,俄罗斯,5.77,seriesval,0,0,0,0
2075,俄罗斯,5.8,seriesval,0,0,0,0
2076,俄罗斯,5.83,seriesval,0,0,0,0
2077,俄罗斯,5.86,seriesval,0,0,0,0
2078,俄罗斯,5.9,seriesval,0,0,0,0
2079,俄罗斯,5.93,seriesval,0,0,0,0
2080,俄罗斯,5.96,seriesval,0,0,0,0
2081,俄罗斯,5.99,seriesval,0,0,0,0
2082,俄罗斯,6.02,seriesval,0,0,0,0
2083,俄罗斯,6.06,seriesval,0,0,0,0
2084,俄罗斯,6.09,seriesval,0,0,0,0
2085,俄罗斯,6.12,seriesval,0,0,0,0
2086,俄罗斯,6.15,seriesval,0,0,0,0
2087,俄罗斯,6.18,seriesval,0,0,0,0
2088,俄罗斯,6.22,seriesval,0,0,0,0
2089,俄罗斯,6.25,seriesval,0,0,0,0
2090,俄罗斯,6.28,seriesval,0,0,0,0
2091,俄罗斯,6.31,seriesval,0,0,0,0
2092,俄罗斯,6.34,seriesval,0,0,0,0
2093,俄罗斯,6.38,seriesval,0,0,0,0
2094,俄罗斯,6.41,seriesval,0,0,0,0
2095,俄罗斯,6.44,seriesval,0,0,0,0
2096,俄罗斯,6.47,seriesval,0,0,0,0
2097,俄罗斯,6.5,seriesval,0,0,0,0
2098,俄罗斯,6.54,seriesval,0,0,0,0
2099,俄罗斯,6.57,seriesval,0,0,0,0
